BDIOT - ACM 2017	ACM - 2017 International Conference on Big Data and Internet of Things (BDIOT2017)--Ei Compendex, Scopus and ISI	London, UK
ADCOM 2017	3rd International conference on Advanced Computing 	Dubai, UAE
AI 2017	3rd International Conference on Artificial Intelligence and Applications	Chennai, India
EMSA 2018	7th International Conference on Embedded Systems and Applications	Melbourne, Australia
CCSEA  2018	8th International Conference on Computer Science, Engineering and Applications	Melbourne, Australia
CSEN 2017	4th International Conference on Computer Science and Engineering	Vienna, Austria
DMS 2018	9th International Conference on Database Management Systems	Dubai, UAE
CNSA  2018	11th International Conference on Security and its Applications 	Zurich, Switzerland
ICKSE--EI Compendex, Scopus 2018	2018 4th International Conference on Knowledge and Software Engineering (ICKSE 2018)--EI Compendex, Scopus	Istanbul, Turkey
PAKDD 2018	The 22nd Pacific-Asia Conference on Knowledge Discovery and Data Mining	Melbourne, Australia
ICDPR 2018	2018 2ndInternational Conference on Data Processing and Robotics (ICDPR 2018)	Boracay, Philipines
AI4Health 2018	International Workshop on Artificial Intelligence for Health	Funchal, Portugal
ICCTIM 2017	The 3rd International Conference on Computing Technology and Information Management	Thessaloniki, Greece
Ei - ICBDSC 2018	2018 International Conference on Big Data and Smart Computing (ICBDSC 2018)--Ei Compendex, Scopus	Casablanca, Morocco
ICCSP - Ei & Scopus 2018	2018 the 2nd International Conference on Cryptography, Security and Privacy (ICCSP 2018)--Ei Compendex and Scopus	Guiyang, China
ICBDE--EI and Scopus 2018	2018 International Conference on Big Data and Education (ICBDE 2018)--EI Compendex and Scopus	Hawaii, USA
BDAS 2018	14th (IFIP and IEEE technically co-sponsored) International Conference Beyond Databases, Architectures and Structures during IFIP World Computer Congres (IFIP WCC)	Poznan, Poland
ACM - ICBDM 2018	2018 International Conference on Big Data Management (ICBDM 2018)--ACM, Ei Compendex and Scopus	Macau, China
ICGDA--Ei, ISI and Scopus 2018	ACM--2018 the International Conference on Geoinformatics and Data Analysis (ICGDA 2018)--Ei, ISI and Scopus	Prague, Czech Republic
ACM--ICCDA--Ei, Scopus, and ISI 2018	ACM--2018 The 2nd International Conference on Compute and Data Analysis (ICCDA 2018)--Ei Compendex, Scopus, and ISI	DeKalb, USA
IFAC INCOM SIMCA 2018	IFAC INCOM 2018 SIMCA Special Session	Bergamo, Italy
DM_FLAIRS 2018	FLAIRS-2018 Special Track on Data Mining	Melbourne, USA
HeteroNAM 2018	International Workshop on Heterogeneous Networks Analysis and Mining	Los Angeles, USA
ICFIP--EI, Scopus 2018	2018 2nd International Conference on Frontiers of Image Processing (ICFIP 2018)--EI Compendex, Scopus, and ISI CPCS	Barcelona, Spain
MIS2 @ WSDM 2018	Misinformation and Misbehavior Mining on the Web workshop	Los Angeles, USA
IEMIS 2018	1ST INTERNATIONAL CONFERENCE ON EMERGING TECHNOLOGIES IN DATA MINING AND INFORMATION SECURITY 	Kolkata, India
DMCIT 2018	2018 2nd International Conference On Data Mining, Communications And Information Technology (DMCIT 2018)	Shanghai, China
IEEE BigDataService 2018	The Fourth IEEE INTERNATIONAL CONFERENCE ON BIG DATA COMPUTING SERVICE AND APPLICATIONS	Bamberg, Germany
ICISDM--IEEE Xplore, Ei and Scopus 2018	2018 2nd International Conference on Information System and Data Mining (ICISDM 2018)--IEEE Xplore, Ei and Scopus	Lakeland, USA
ICME 2018	IEEE International Conference on Multimedia and Expo	San Diego, USA
ACM--ICDPA--Scopus, Ei Compendex 2018	ACM--2018 International Conference on Data Processing and Applications (ICDPA 2018)--Scopus, Ei Compendex	Guangzhou, China
ICCCBDA--Ei and Scopus 2018	2018 the 3rd IEEE International Conference on Cloud Computing and Big Data Analysis (ICCCBDA 2018)--Ei Compendex and Scopus	Chengdu, China
ICBDC--Ei and Scopus 2018	2018 International Conference on Big Data and Computing (ICBDC 2018)--Ei Compendex and Scopus	Shenzhen, China
ICBDT--EI Compendex, Scopus 2018	2018 International Conference on Big Data Technologies (ICBDT 2018)--EI Compendex and Scopus	Hangzhou, China
ICCDE--Ei and Scopus 2018	ACM - 2018 International Conference on Computing and Data Engineering (ICCDE 2018)--Ei Compendex and Scopus	Shanghai, China
IEEE - ICBDA 2018	2018 IEEE 3rd International Conference on Big Data Analysis (ICBDA 2018)--IEEE Xplore and Ei Compendex	Shanghai, China
DSA 2018	The Frontiers in Intelligent Data and Signal Analysis DSA 2018	New York City, USA
ICDM 2018	18th Industrial Conference on Data Mining ICDM 2018	New York City, USA
MLDM 2018	14th International Conference on Machine Learning and Data Mining MLDM 2018	New York City, USA
AIAI 2018	14th Artificial Intelligence Applications and Innovations 2018	Rhodes, Greece
EiDMKD 2018	2018 International Conference on Data Mining and Knowledge Discovery(DMKD 2018)	Beijing, China
ICIKM--EI, Scopus 2018	2018 7th International Conference on Innovation, Knowledge, and Management (ICIKM 2018)--EI Compendex, Scopus	Bali, Indonesia
IEEE FRUCT 2018	22nd Conference of Open Innovations Association FRUCT	Petrozavodsk, Russia
